x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.123108890000000315e+01,4.049974230000000119e+01,-7.128886110000000542e+01,4.044196999999999775e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.123108890000000315e+01,4.049974230000000119e+01,-7.184968820000000278e+01,3.988114290000000040e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.123108890000000315e+01,4.049974230000000119e+01,-7.233590309999999590e+01,3.939492800000000017e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.123108890000000315e+01,4.049974230000000119e+01,-7.268886109999999690e+01,3.904196999999999917e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.179191600000000051e+01,4.038047970000000220e+01,-7.241051539999999420e+01,3.976188040000000257e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.179191600000000051e+01,4.038047970000000220e+01,-7.324968819999999425e+01,3.892270750000000135e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.227813089999999363e+01,4.007659540000000220e+01,-7.289673030000000153e+01,3.945799610000000257e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.227813089999999363e+01,4.007659540000000220e+01,-7.338294519999999466e+01,3.897178120000000234e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.227813089999999363e+01,4.007659540000000220e+01,-7.373590310000000159e+01,3.861882320000000135e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.263108889999999462e+01,3.962474230000000119e+01,-7.268886109999999690e+01,3.956696999999999775e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.263108889999999462e+01,3.962474230000000119e+01,-7.324968819999999425e+01,3.900614290000000040e+01
-7.100000000000000000e+01,3.389999999999999858e+01,-7.105777220000000227e+01,3.554993559999999775e+01,-7.111554449999999861e+01,3.719987110000000285e+01,-7.117331670000000088e+01,3.884980670000000202e+01,-7.263108889999999462e+01,3.962474230000000119e+01,-7.373590310000000159e+01,3.851992800000000017e+01
